Meta,ID,Match,Owner,Deck,Played,Wins,Elo,Active,Win Rate,WRA,STR,Weight,Bayes STR,Norm Bayes STR
BMT,c5a166f8cb704c10796841d43c5f06c7a844499ca32ef85907e572a7bf147588,17,Deniedpluto,Get Zada Here,1,0,968.1442428,0,0,0.253012048192771,0,0.121072088724584,0.0706057043594488,-0.519196642104045
BMT,c6d8f7c3e2ad27fe5f6d9d284d8647f13d55c9c5e2debc017a57cf2aba61e6a7,161,Tank,"Marisi, Breaker of the Coil",1,0,973.2360009,0,0,0.157894736842105,0,0.121072088724584,0.0706057043594488,-0.519196642104045
BMT,c71a407a4dedb5b2c514fc333c36aa7a70fe2bf69cea00c86e1447f179997fa7,186,Tank,Rith's Dragons,18,8,1057.883346,1,0.444444444444444,0.281065088757396,0.12491781722551,0.71260199456029,0.112103833525136,1.27532791748961
BMT,cb51810805714dfa90895db45208b8af601821911fafbce575c76ef4e27b4c28,282,Deniedpluto,Now That's a Paladin,10,3,990.9860644,1,0.3,0.255605381165919,0.0766816143497758,0.579389650597081,0.0782168451637018,-0.190064236032809
BMT,cecc3924a43b6bd4ebe66096a9250b4247eec0ea5dd893081a2dac7634d88808,166,Wedgetable,Sidar & Tana Can't Be Blocked,7,5,1136.544908,0,0.714285714285714,0.352941176470588,0.252100840336135,0.490899357601713,0.164653020720106,3.54773896116702
BMT,d69fafd293bf570418287743b0a0b70c46a0192727ca55a6be2137c6d7bfeb84,109,Wedgetable,Crabby Islands,1,1,1038.343023,0,1,0.125,0.125,0.121072088724584,0.0857397154500218,0.135251043447331
BMT,d6cd10cd3acb06fe936e9c006b2e66225f4450f38364c8a1972b8803bda878b8,282,Ghstflame,Skullbriar Smash,11,3,991.8564916,1,0.272727272727273,0.390243902439024,0.106430155210643,0.60242474916388,0.0960540241536205,0.581277904319481
BMT,d79ddfc55e1b7dfb416c6d30c19cde70a082fb1677f1e50dd5efa30760f1ee83,276,Deniedpluto,Squirrels Just Want to Have Fun,7,2,977.1598272,1,0.285714285714286,0.309859154929577,0.0885311871227364,0.490899357601713,0.0843567830345144,0.0754481985051488
BMT,d804777da35e9a14f3c89576a158f6e659a47284c6023576ec83b8fc3c0efd9a,245,Wedgetable,Phelia Plays Fetch,5,1,966.187784,1,0.2,0.318181818181818,0.0636363636363636,0.407845579078456,0.0735225344325914,-0.393062686004073
BMT,d8c40f2ec113fc523df0a8ba4d9fe94f916bfadc53bf25fda64dc81edfadde57,257,Wedgetable,Long Live Prosper,27,10,1079.75134,1,0.37037037037037,0.286324786324786,0.106046217157328,0.788101604278075,0.100597335606594,0.777746616238798
BMT,d9a188f8dbeb184b4c5cfa2bc7f0089e981cf60475c5e965c2aea8df24debe56,143,Ghstflame,Juri Duty,9,1,923.2913952,0,0.111111111111111,0.349206349206349,0.0388007054673721,0.553521126760563,0.0573433820952842,-1.09270594237312
BMT,dd8def585140aef17b8525c67657ba8e38f74a3f9807063ff69038b1ea042d5c,124,Wedgetable,Mishra's Toybox,2,0,964.3349858,0,0,0.282608695652174,0,0.215993404781533,0.0629805211186509,-0.84893629235141
BMT,de394fefbe15a86612f907c93b7072e0e6ae0e69f500e83846bd2b39c813d402,42,Wedgetable,Niv-Mizzet Winstants,2,1,1018.546965,0,0.5,0.240963855421687,0.120481927710843,0.215993404781533,0.0890038228995586,0.276402490539304
BMT,e08278e63ec93e33337f34b1f15526d139ab046dbec9d093fe05826a5ba1ee28,142,Ghstflame,Firesong & Sunspeaker,5,2,1030.83798,0,0.4,0.292397660818713,0.116959064327485,0.407845579078456,0.0952699621739891,0.54737231611635
BMT,e15660b137e7fe45e6151804a94a62c8e2db4fa61bd939feaf7d4f2d547689ea,110,Deniedpluto,Omnath Smash Bang Fusion,7,4,1066.047185,0,0.571428571428571,0.22488038277512,0.128503075871497,0.490899357601713,0.103978957543408,0.923979801658908
BMT,e2d548e6320e75012316214c86021dff73d139a0d8b8ee769a327d382513a1d8,5,Deniedpluto,Land's Wrath,2,0,958.9264551,0,0,0.203703703703704,0,0.215993404781533,0.0629805211186509,-0.84893629235141
BMT,e3575e86ad82419d0dcc62905eced191d944977e4348686fb82e2d9ff189cc59,148,Deniedpluto,The Dark Side of the Moon,4,2,1025.782264,0,0.5,0.205357142857143,0.102678571428571,0.355254237288136,0.0882704702003356,0.24468974936137
BMT,e45ad362e976e6c0d5d507b81bfd18b41f0f9a3b07e43f505568d4108f5b6136,215,Tank,Atla's Angels,9,1,905.7489421,0,0.111111111111111,0.258964143426295,0.0287737937140328,0.553521126760563,0.051793274603647,-1.33271204390993
BMT,e567bc8964c571f57d38d7d244f7ec105ab3a91d5c14c642ff06168bcf8026ac,242,Deniedpluto,Tricksy Hobbitses,5,2,1034.789061,1,0.4,0.258620689655172,0.103448275862069,0.407845579078456,0.0897596468285048,0.309086966454043
BMT,e6174d7b5781f35eb5ccba9802cf5b0165acfe7b84ded9d37e7cea0d3c2bd92f,205,Ghstflame,Lathriel Lifegain,1,0,980.0147336,0,0,0.318181818181818,0,0.121072088724584,0.0706057043594488,-0.519196642104045
BMT,e7806376a0e89dbe7777bdc76b9d7b56afdfcdfe99796310fa98c948f877b679,13,Wedgetable,Sauron Orc Squad,1,0,984.9863866,0,0,0.246575342465753,0,0.121072088724584,0.0706057043594488,-0.519196642104045
BMT,e86b062ba54ae14e92531dd48a70038d661a18311a1dc8fc3d9026d29e84be12,279,Deniedpluto,The Indefatigable,7,3,1050.152624,1,0.428571428571429,0.25,0.107142857142857,0.490899357601713,0.0934932398912867,0.470540617049707
BMT,ea89e6e14852e92a4d00ce2c525843b717a56ebb5fd389ccc4588c87e2427953,276,Ghstflame,Krenko Mob Boss,11,3,983.0858888,1,0.272727272727273,0.330612244897959,0.0901669758812616,0.60242474916388,0.0862566824255107,0.157606507480653
BMT,ea955e15d0538ac250301345efe1b66dcbfa7a40ad91a2f19d502eeef57df6ba,184,Wedgetable,Aikido Masters Kynaios & Tiro,1,1,1037.759214,0,1,0.215686274509804,0.215686274509804,0.121072088724584,0.0967192921235747,0.610046423161074
BMT,ebbee1391659dbf963467f7c383fcbfdf031012b5ddaab2a17551043bb8f8a88,284,Ghstflame,The Flavor Green,12,3,1006.994521,1,0.25,0.311538461538462,0.0778846153846154,0.623067776456599,0.0788069708686242,-0.164545132111219
BMT,f02dae5565655b36a155c00914938a78f066ee2853ee424bf3a73aa49ed35a24,274,Ghstflame,Talrand Sky Summoner,8,2,1000.083112,1,0.25,0.320224719101124,0.0800561797752809,0.524262131065533,0.0801872178696438,-0.104858413904097
